new entry "Target_LLNWIZ_Rename"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "Ability" "Source"
data "Requirement" "ShieldWeapon"
data "ActionPoints" "1"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "Damage Multiplier" "0"
data "Damage Range" "0"
data "DamageType" "None"
data "SkillProperties" "LLNWIZ_RENAME,100,-1"
data "TargetRadius" "18"
data "AddWeaponRange" "No"
data "Requirements" "!Combat"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetConditions" "Character"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Item_WPN_Humans_Wand_1H_A"
data "DisplayName" "Target_LLNWIZ_Rename_DisplayName"
data "DisplayNameRef" "Nameicus Renameicus"
data "Description" "Target_LLNWIZ_Rename_Description"
data "DescriptionRef" "Tear apart the very fabric of reality to rename the target character."
data "StatsDescription" "Target_LLNWIZ_Rename_StatsDescription"
data "StatsDescriptionRef" "Range: [1]"
data "StatsDescriptionParams" "TargetRadius"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Items_Weapons_Prepare_Weapon_Root_01,KeepRot;RS3_FX_Items_Weapons_Prepare_Weapon_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_attack_projectile_01_cast"
data "CastSelfAnimation" "skill_attack_projectile_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Target_Totem_Shadow_Hand_01,detach:Dummy_CastFX:cast"
data "TargetEffect" "RS3_FX_Skills_Totem_Impact_Target_Root_Shadow_01:Dummy_BodyFX:cast"
data "TargetGroundEffect" "RS3_FX_Skills_Totem_Impact_Target_Root_Shadow_01:Dummy_BodyFX:cast"
data "BeamEffect" "RS3_FX_GP_Beams_ShadowBeam_01:Dummy_L_HandFX:Dummy_BodyFX:cast"
data "IgnoreVisionBlock" "Yes"
data "Stealth" "Yes"

